name,start_time,end_time,report,coordinates,connected,busbar,control_areas,zone,pmax,pmin,rpmax_up,rpmax_down,rsmax_up,rsmax_down,rtmax_up,rtmax_down,pcost_rp_up,pcost_rs_up,pcost_rt_up,pcost_rp_down,pcost_rs_down,pcost_rt_down,vomc_avg,auxserv,flex,is_ncre,forced_commit,unavailability,candidate,gen_recourse,gen_recourse_start_time,dimensioned,gen_inv_cost,initial_investment,recog_pot,forced_outage_rate,fom_cost,lifetime,inertia,voltage,owner
"LIBELULA_Y_PMGD_FV",2025-11-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_PV_Polpaico500",139.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:09,false,0,0,1,0.01782907,0,50,0,500,None
"QUILLAGUA_II_FV",2025-04-01-00:00,2060-01-01-00:00,true,0,true,"Lagunas220",SEN,"Profile_Granja_Solar",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:09,false,0,0,1,0.01782907,0,50,0,500,None
"VICTOR_JARA",2025-10-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPozoAlmonte220",SEN,"Profile_FV_PozoAlmonte01",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:09,false,0,0,1,0.01782907,0,50,0,500,None
"CANQUINA_FV",2025-12-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPozoAlmonte220",SEN,"Profile_FV_PozoAlmonte01",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:09,false,0,0,1,0.01782907,0,50,0,500,None
"ANDES III ETAPA I_FV",2025-05-01-00:00,2060-01-01-00:00,true,0,true,"NuevaZaldivar220",SEN,"Profile_ANDESSOLAR",175.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"SOL_DEL_DESIERTO_FASE_I_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_FV_Kimal03",175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,0,0.01782907,0,25,0,220,None
"PUNTA_DEL_VIENTO_FV",2023-12-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_PuntadelViento",145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"MALGARIDA_II_ETAPA_I_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,"Profile_FV_Kimal03",162.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"SANTA_ISABEL_ETAPA_I_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_SantaIsabelEtapaI_FaseI",158.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"MESETA_ DE_LOS_ANDES_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_Cintac",152.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09025271,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"SOL_DEL_LILA_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaZaldivar220",SEN,"Profile_PV_NuevaZaldivar220",152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"SOL_DE_VALLENAR_FASE_II_FV",2023-12-01-00:00,2060-01-01-00:00,true,0,false,"NuevaMaitencillo500",SEN,"Profile_PFV_Sol_de_Vallenar",150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"ATACAMA_SOLAR_II_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Lagunas220",SEN,"Profile_FV_Kimal03",150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,0,0.01782907,0,25,0,220,None
"VALLE_DEL_SOL_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_PV_Kimal220",149.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"ANDINO_OCCIDENTE_FV",2025-12-01-00:00,2060-01-01-00:00,true,0,false,"Rapel500",SEN,"Profile_PV_AltoJahuel500",147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:10,false,0,0,1,0.01782907,0,50,0,500,None
"BOLERO_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_FVBOLERO",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17999864,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"RIO_ESCONDIDO_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaCardones500",SEN,"Profile_Escondido",145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"TAMARICO_FV",2024-04-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_PFV_Sol_de_Vallenar",144.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"LUZ_DEL_NORTE_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,"Profile_LuzdelNorte",141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.02412729,0,50,0,500,None
"FINIS_TERRAE_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_FINISTERRAE",137.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00507246,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.00749891,0,50,0,220,None
"ANDES_IV_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaZaldivar220",SEN,"Profile_ANDESSOLAR",130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01720578,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.00614283,0,50,0,220,None
"FINIS_TERRAE_ETAPA_I_AMP_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_FINISTERRAE",126.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00507246,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.00749891,0,50,0,220,None
"LAS_SALINAS_Fase3_FV",2024-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_CERRODOMINADOR",122.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
