name,start_time,end_time,report,h_type,ini,end,h_max_flow,h_min_flow,h_ramp,h_delay,h_delayed_q,h_flow_penalty
"HG_LosQuilos_turbinated",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_Los Quilos","HG_Chacabuquito",99999,0,99999,0,0,0
"HG_LosHierros_turbinated",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_Los Hierros","HG_Los Hierros 2",99999,0,99999,0,0,0
"HG_Isla_turbinated",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_Isla","HG_Curillinque",99999,0,99999,0,0,0
"HG_Curillinque_turbinated",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_Curillinque","HG_Loma Alta",99999,0,99999,0,0,0
"HG_Pangue_turbinated",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_Pangue","HG_Angostura",99999,0,99999,0,0,0
"HG_Juncal_turbinated",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_Juncal","HG_Juncalito",99999,0,99999,0,0,0
"inflow Afl_SanIgnacio",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_SanIgnacio","HG_San Ignacio",99999,0,99999,0,0,0
"inflow Afl_Los_Condores",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Los_Condores","HG_Los Condores",99999,0,99999,0,0,0
"inflow Afl_Clemente",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_SanClemente","HG_San Clemente",99999,0,99999,0,0,0
"inflow Afl_Robleria",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Robleria","HG_Robleria",99999,0,99999,0,0,0
"inflow Afl_OjosdeAgua",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_OjosdeAgua","HG_Ojos de Agua",99999,0,99999,0,0,0
"inflow Afl_LosHierros_2",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_LosHierros2","HG_Los Hierros 2",99999,0,99999,0,0,0
"inflow Afl_Blanco",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Blanco","HG_Blanco",99999,0,99999,0,0,0
"inflow Afl_Chacabuquito",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Chacabuquito","HG_Chacabuquito",99999,0,99999,0,0,0
"inflow Afl_Chiburgo",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Chiburgo","HG_Chiburgo",99999,0,99999,0,0,0
"inflow Afl_Rio_Melado",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Rio_Melado","Rio_Melado",99999,0,99999,0,0,0
"inflow Afl_LosHierros",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_LosHierros","HG_Los Hierros",99999,0,99999,0,0,0
"inflow Afl_Palmucho",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Palmucho","HG_Palmucho",99999,0,99999,0,0,0
"inflow Afl_LosQuilos",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_LosQuilos","HG_Los Quilos",99999,0,99999,0,0,0
"inflow Afl_LomaAlta",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_LomaAlta","HG_Loma Alta",99999,0,99999,0,0,0
"inflow Afl_LaHiguera",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_LaHiguera","HG_La Higuera",99999,0,99999,0,0,0
"inflow Afl_Quilleco",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Quilleco","HG_Quilleco",99999,0,99999,0,0,0
"inflow Afl_Rucue",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Rucue","HG_Rucue",99999,0,99999,0,0,0
"inflow Afl_Isla",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Isla","HG_Isla",99999,0,99999,0,0,0
"inflow Afl_Hornitos",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hornitos","HG_Hornitos",99999,0,99999,0,0,0
"inflow Afl_Confluencia",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_LaConfluencia","HG_Confluencia",99999,0,99999,0,0,0
"inflow Afl_Juncal",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Juncal","HG_Juncal",99999,0,99999,0,0,0
"inflow Afl_Juncalito",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Juncalito","HG_Juncalito",99999,0,99999,0,0,0
"inflow Afl_CANECOL",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_CANECOL","CANECOL",99999,0,99999,0,0,0
"inflow Afl_CANBLANCO",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_CANBLANCO","CANBLANCO",99999,0,99999,0,0,0
"inflow Afl_Colbun",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Colbun","Emb_Colbun",99999,0,99999,0,0,0
