name,start_time,end_time,report,coordinates,connected,busbar,control_areas,pmax,pmin,rpmax_up,rpmax_down,rsmax_up,rsmax_down,rtmax_up,rtmax_down,pcost_rp_up,pcost_rs_up,pcost_rt_up,pcost_rp_down,pcost_rs_down,pcost_rt_down,vomc_avg,heatrate_avg,cost_function,auxserv,flex,uc_linear,rampup,rampdn,faststart,startcost,shutdncost,mindntime,minuptime,is_ncre,forced_commit,initialstate,initialtime,fuel_name,unavailability,co2_emission,candidate,gen_recourse,gen_recourse_start_time,dimensioned,gen_inv_cost,initial_investment,recog_pot,forced_outage_rate,fom_cost,lifetime,inertia,voltage,owner
"CANETE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,19.78,0.24,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CANETE_Diesel",0,0.77,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CARDONES",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaCardones500",SEN,148.677,0,0,0,0,0,0,0,0,0,0,0,0,0,24.41,0.241560279,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CARDONES_Diesel",0.008429926,0.81,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CASABLANCA_1",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Quillota500",SEN,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,36.71,0.311,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CASABLANCA_1_Diesel",0,0.76,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CASABLANCA_2",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Quillota500",SEN,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1,0.311,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CASABLANCA_2_Diesel",0,0.63,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CELCO_BL1",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Ancoa500",SEN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.341907838,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CELCO_BL1_Biomasa",0.11665751,0.48,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CELCO_BL2",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Ancoa500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CELCO_BL2_fuel_oil",0.11665751,0.75,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CEMENTOS_BIOBIO_DIE",2018-01-01-00:00,2023-11-30-00:00,true,0,true,"AltoJahuel500",SEN,12.078724,0,0,0,0,0,0,0,0,0,0,0,0,0,16.84,0.345966818,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CEMENTOS_BIOBIO_DIE_Diesel",0.05434,0.6,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CENIZAS",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaCardones500",SEN,4.937,0,0,0,0,0,0,0,0,0,0,0,0,0,13.811,0.243169091,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CENIZAS_Diesel",0.05434,0.38,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CORTES",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Quillota500",SEN,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,54.89,0.194066667,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CORTES_Diesel",0,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"AGNI",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,45.55,0.201166667,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_AGNI_Diesel",0,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CERN_LEPANTO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"AltoJahuel500",SEN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CERN_LEPANTO_Diesel",0.05434,0.37,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CHILE_GENERACION",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Ancoa500",SEN,1.1004,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CHILE_GENERACION_Diesel",0.007179896,0.26,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CHILOE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,57.22,0.2138,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CHILOE_Diesel",0.03840328,0.31,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CHOLGUAN_BL1",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.427737379,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CHOLGUAN_BL1_Biomasa",0.009184266,0.33,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CHOLGUAN_BL2",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CHOLGUAN_BL2_Diesel",0.009184266,0.8,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CHUFKEN",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Mulchen500",SEN,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,19.17,0.24,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CHUFKEN_Diesel",0,0.8,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CHUYACA",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Pichirropulli500",SEN,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6319321,0.248163636,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CHUYACA_Diesel",0.406633042,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CMPC_SANTA_FE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.59,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CMPC_SANTA_FE_Biomasa",0.02204225,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CMPC_TISSUE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"AltoJahuel500",SEN,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.088721769,0.247836038,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CMPC_TISSUE_GN",0.009621774,0.85,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"COELEMU",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,5.89016,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_COELEMU_Diesel",0.066532277,0.85,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"COLIHUES_U1_HFO",2018-01-01-00:00,2024-12-31-00:00,true,0,true,"Ancoa500",SEN,9.563409563,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0.214,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_COLIHUES_U1_HFO_fuel_oil",0.508912831,1,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"COLIHUES_U2_HFO",2018-01-01-00:00,2024-12-31-00:00,true,0,true,"Ancoa500",SEN,9.563409563,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0.214,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_COLIHUES_U2_HFO_fuel_oil",0.578828114,1.07,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"COMBARBALA",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,75.97,0,0,0,0,0,0,0,0,0,0,0,0,0,45.16,0.2178,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_COMBARBALA_Diesel",0.0000541,0.85,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CONSTITUCION-EGEN",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Ancoa500",SEN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,38.39,0.217428028,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CONSTITUCION-EGEN_Diesel",0.041640454,0.85,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CONTULMO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CONTULMO_Diesel",0.05434,1.01,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CURACAUTIN",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Mulchen500",SEN,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,19.49,0.22,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CURACAUTIN_Diesel",0,1.03,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"CURAUMA",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Quillota500",SEN,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,37.08,0.311,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CURAUMA_Diesel",0,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"DANISCO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0.217074,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_DANISCO_Diesel",0.05434,0.66,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"DEGAN",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,36,0,0,0,0,0,0,0,0,0,0,0,0,0,45.52,0.217909091,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_DEGAN_Diesel",0,0.52,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"DEGAN_2_NAVE4",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,45.52,0.217909091,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_DEGAN_2_NAVE4_Diesel",0,0.86,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"DEGAN_2_NAVE5",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,5.268,0,0,0,0,0,0,0,0,0,0,0,0,0,57.01,0.254272727,0,0.017105887,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_DEGAN_2_NAVE5_Diesel",0,0.463846154,false,false,1970-01-01-00:00,false,0,0,1,0.038123473,12,30,0,220,None
"DIEGO_DE_ALMAGRO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,23.6691,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63,0.337,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_DIEGO_DE_ALMAGRO_Diesel",0.014738308,0.83,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"EL_CAMPESINO_BIOGAS",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,1.005050505,0,0,0,0,0,0,0,0,0,0,0,0,0,19.665,1.356509042,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_EL_CAMPESINO_BIOGAS_Biogas",0.269679963,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"EL_CANELO_1",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.2965,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_EL_CANELO_1_Diesel",0,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"EL_CANELO_2",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.2965,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_EL_CANELO_2_Diesel",0,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"EL_MOLLE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Quillota500",SEN,4.1456,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_EL_MOLLE_Diesel",0.000285926,0.81,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"EL_NOGAL",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"AltoJahuel500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,0.2353,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_EL_NOGAL_Diesel",0,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"EL_PENON",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,80.838,0,0,0,0,0,0,0,0,0,0,0,0,0,37.28,0.2193,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_EL_PENON_Diesel",0.000648601,0.94,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"EL_SALVADOR",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,17.702,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99,0.340379624,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_EL_SALVADOR_Diesel",0.159833893,0.84,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"EMELDA_U1",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,36.243,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,0.265454545,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_EMELDA_U1_Diesel",0,0.72,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"EMELDA_U2",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,34.04,0,0,0,0,0,0,0,0,0,0,0,0,0,12.38,0.27571604,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_EMELDA_U2_Diesel",0,1.67,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"ENERGIA_PACIFICO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"AltoJahuel500",SEN,14.3052,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83,1.5625,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_ENERGIA_PACIFICO_Biomasa",0.094350992,1.62,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
"ERMITANO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,0.2353,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_ERMITANO_Diesel",0,0.72,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
