time,Proj_NuevaCharrua500,Proj_Cumbre500,Proj_Pichirropulli500,Proj_Polpaico500,Proj_Ancud500,Proj_AltoJahuel500,Proj_NuevaCardones500,Proj_Ancoa500,Proj_RioMalleco500,Proj_NuevaPandeAzucar500,Proj_NuevaMaitencillo500,Proj_NuevaPuertoMontt500,Proj_Parinas500,Proj_NuevaZaldivar220,Proj_Kimal500,Proj_LosChangos500,Proj_Lagunas220,Proj_Kimal220,Proj_LosChangos220,Proj_Parinacota220,Proj_NuevaPozoAlmonte220,Proj_Quillota500,Proj_Rapel500,Proj_Concepcion500,Proj_Mulchen500,Proj_Candelaria500
2040-01-01-00:00,0.999999995,0.989273297,1.036231067,1.011722062,0.999999995,1.035904132,1.002249223,1.027548959,0.999999995,1.008186647,0.99407542,1.036150667,1.002157722,0.989600557,0.999999995,0.999999995,0.979879681,1.024686209,0.999999995,1.032982203,1.035367547,1.014417816,0.999999995,1.069170874,1.034867813,0.999999995
2041-01-01-00:00,1.017295605,0.980070287,1.039220556,1.018465583,1.017295605,1.014281822,0.997102591,1.032991427,1.017295605,1.01020555,0.992410569,1.043311322,1.042770031,0.9893925,1.017295605,1.017295605,0.98197607,1.221643659,1.017295605,1.037141828,1.0320893,1.016383001,1.017295605,1.066626906,1.036090169,1.017295605
2042-01-01-00:00,1.017387404,0.990412292,1.036241368,1.017359512,1.017387404,1.015772547,0.995037637,1.030025191,1.017387404,0.950251628,0.992813678,1.037294767,1.011572854,0.967653015,1.017387404,1.017387404,0.973823676,1.185408989,1.017387404,1.034740084,1.035082746,1.013982551,1.017387404,1.064516747,1.034595924,1.017387404
2043-01-01-00:00,1,1.350346134,1.033811156,0.9996009,1,1.021320132,0.99771388,1.028558257,1,1.007436928,0.99244301,1.033504277,0.995251658,0.980899216,1,1,0.974826568,1.177006455,1,1.032756933,1.033566101,1.016037847,1,1.059558739,1.032255144,1
2044-01-01-00:00,1,0.65036304,1.035134837,1.011537503,1,1.023409114,0.997076709,1.02806036,1,1.012501025,0.9912369,1.035321813,0.994080016,0.964904219,1,1,0.981244925,1.150496164,1,1.032132722,1.03284891,1.007143967,1,1.058477511,1.032348066,1
2045-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2046-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2047-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2048-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2049-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2051-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2052-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2053-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2054-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2055-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2056-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2057-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
