name,start_time,end_time,report,connected,coordinates,busbari,busbarf,max_flow,max_flow_reverse,r,x,branch_associated_ess,branch_ovf_ab,branch_ovf_ba,dc,losses,binary_loss_model,candidate,branch_recourse,branch_recourse_start_time,dimensioned,branch_inv_cost,initial_investment,lifetime,voltage,owner
"L1_NuevaCharrua500_Mulchen500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"Mulchen500","NuevaCharrua500",880,880,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,40,500,None
"LC_NuevaCharrua500_Mulchen500",2024-03-01-00:00,2060-01-01-00:00,true,true,0,"NuevaCharrua500","Mulchen500",337,337,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,40,500,None
"L1_Mulchen500_RioMalleco50",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"RioMalleco500","Mulchen500",630,630,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"NuevaCharrua500_RioMalleco500",2030-02-01-00:00,2060-01-01-00:00,true,false,0,"NuevaCharrua500","RioMalleco500",660,660,0.000336,0.0034,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,40,500,None
"LC_Parinas500_NuevaZaldivar220",2025-01-01-00:00,2060-01-01-00:00,true,true,0,"Parinas500","NuevaZaldivar220",660,660,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,2000,0,30,500,None
"LC_Pichirropulli500_NuevaPuertoMontt500",2021-07-01-00:00,2060-01-01-00:00,true,true,0,"Pichirropulli500","NuevaPuertoMontt500",515,515,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"LC_NuevaPuertoMontt500_NuevaAncud500",2023-11-01-00:00,2060-01-01-00:00,true,true,0,"NuevaPuertoMontt500","NuevaAncud500",558,558,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"LC_RioMalleco500_Pichirropulli500",2037-01-01-00:00,2060-01-01-00:00,true,true,0,"RioMalleco500","Pichirropulli500",660,660,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"LC_NuevaPozoAlmonte220_Parinacota220",2022-02-01-00:00,2060-01-01-00:00,true,true,0,"NuevaPozoAlmonte220","Parinacota220",91,91,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,220,None
"LC_NuevaPozoAlmonte220_Lagunas220",2025-01-01-00:00,2060-01-01-00:00,true,true,0,"NuevaPozoAlmonte220","Lagunas220",183,183,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,220,None
