name,start_time,end_time,report,power
"Profile_PV_NuevaMaitencillo500",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PV_Mulchen500",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PV_NuevaPandeAzucar500",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_FV_Parinacota01",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_FV_Lagunas01",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_FV_PozoAlmonte01",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_FV_Kimal01",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_FV_Cumbre01",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Canela",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_CanelaII",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaCuel",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaElArrayan",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaLasPenas",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaLosBuenosAires",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaLosCururos",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaPuntaColorada",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaPuntaPalmeras",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaSanJuan",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaTalinayOriente",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaTalinayPoniente",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaTaltal",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_EolicaTotoral",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Huajache",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_MonteRedondo",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ParqueeolicoLaEsperanza",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ParqueEolicoRenaico",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Raki",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SIERRAGORDAESTE",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_VALLEDELOSVIENTOS",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PUNTASIERRA",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Alena",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Aurora",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Cabo_Leones_IF",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Cabo_Leones_II",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Cabo_Leones_III",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Caman",1970-01-01-00:00,2050-01-01-00:00,true,0
