stage,block,NuevaCharrua500,Cumbre500,Pichirropulli500,Polpaico500,NuevaAncud500,AltoJahuel500,NuevaCardones500,Ancoa500,RioMalleco500,NuevaPandeAzucar500,NuevaMaitencillo500,NuevaPuertoMontt500,Parinas500,NuevaZaldivar220,Kimal500,LosChangos500,Lagunas220,Kimal220,LosChangos220,Parinacota220,NuevaPozoAlmonte220,Quillota500,Rapel500,Concepcion500,Mulchen500,Candelaria500
1,1,0.0,47.12642170281033,93.82602526312614,1420.1841098832967,0.0,1179.2807786534736,291.24384317516456,466.04631686513613,0.0,401.22400972895065,165.09936519781573,193.88771032508987,2.44562020215995,1486.8623163970863,0.0,0.0,433.27851219085926,681.8418944560449,0.0,43.42463255360212,68.26660694484272,671.5552711069313,0.0,535.0926376370871,165.3571577168598,0.0
1,2,0.0,46.34370269171245,84.79319321735068,1297.9102938277301,0.0,1052.536232927947,284.2671697841778,441.7026154508453,0.0,369.3634455838416,159.71886875674267,177.3999780816873,2.4283796330051697,1473.82884197503,0.0,0.0,411.04340522063524,680.9353093562788,0.0,38.11023769169506,68.15160739455881,611.2806925759959,0.0,489.1834259575126,141.89408934898364,0.0
1,3,0.0,45.4702712404072,86.2108675366172,1306.4378793807973,0.0,1051.2861590473403,286.5230633753471,440.5934473703918,0.0,367.4361908471951,164.2440417277677,179.1270179880209,2.445992165520686,1472.60831558564,0.0,0.0,410.59135740862996,695.5471877638277,0.0,36.746027063798635,68.88472952207957,600.4652485179099,0.0,481.55013279761664,139.8261387970632,0.0
1,4,0.0,45.37178342764516,92.08298305940411,1488.5694653362664,0.0,1198.5146726506746,278.1510552242054,477.3264834219208,0.0,382.0833270022101,166.57607754661726,196.3521379581872,2.355469852792855,1510.0959022664533,0.0,0.0,417.22139349851057,682.8549972766805,0.0,39.353915670585934,73.95908456818958,643.8695585529443,0.0,507.30793675677546,149.4502791614745,0.0
1,5,0.0,45.05040211336021,116.97749916440608,1938.7554134815596,0.0,1616.12982717952,293.0387230519797,622.475259278008,0.0,459.3459558024193,157.29910740429744,246.76617679469683,2.2541482512438273,1500.3752843777033,0.0,0.0,439.85204235830355,669.4479538602058,0.0,48.02131015219973,72.55034009567552,806.5003144870566,0.0,645.8787608239479,214.77948549958163,0.0
1,6,0.0,42.79295761782422,135.92243121754277,2207.2332137032986,0.0,1861.9977802717158,304.7976447892547,693.2227821932727,0.0,526.0086835021659,140.0098761492153,280.05858860266767,2.20879554282715,1487.9302770521808,0.0,0.0,474.70682038721674,661.9609343490375,0.0,56.38737297435809,68.9709791786379,915.2533966239271,0.0,731.3408358827112,257.1978280842509,0.0
1,7,0.0,41.29490605166168,137.80104342871167,2332.159402972748,0.0,1991.5140421672477,303.86947065444696,691.2291794884288,0.0,552.6047990439521,164.18555805519998,294.7481295750939,2.241720171453347,1481.5225146666876,0.0,0.0,480.536355008177,655.5651307818239,0.0,59.444519698322885,64.38537218307593,958.1958980518809,0.0,751.9097842939743,265.58795989787325,0.0
1,8,0.0,43.399435249774285,138.76940020044185,2417.658740683654,0.0,2062.2509738598346,309.20493535551344,708.8308789958835,0.0,555.5362550121316,173.30169815981878,302.49070137253614,2.374893223442201,1467.6390307856805,0.0,0.0,483.6536021623971,647.2638416435159,0.0,58.880207666300095,66.23973990493914,977.6602766821152,0.0,754.8163542451845,270.8451748045481,0.0
1,9,0.0,46.06119815805326,137.56476437874676,2389.817643266583,0.0,2036.844302858796,310.6371511718379,705.4381296864366,0.0,532.3483372797454,171.11587144815627,293.5126816294078,2.4289690104976076,1436.7335665202309,0.0,0.0,485.0850872248002,652.2559770261595,0.0,55.89976355059031,67.64848437745322,942.5742233399022,0.0,737.2553207052813,263.9031718630686,0.0
1,10,0.0,45.133339232355155,129.82565696481083,2151.698047731732,0.0,1834.4142565215898,296.8559162072905,640.0407114268002,0.0,498.0837764100494,174.09122756627437,277.6459075117865,2.4451541273769783,1559.788749751021,0.0,0.0,463.89534106312817,655.2242737415295,0.0,51.07297812722765,68.32410671752282,881.2562994355387,0.0,693.3243602707279,241.30785380750532,0.0
