name,bus_i,bus_j,x,fmax_ab,fmax_ba,dc,losses
L5_NuevaPandeAzucar500_Polpaico500,NuevaPandeAzucar500,Polpaico500,0.01,2300,2300,True,True
L5_NuevaCardones500_NuevaMaitencillo500,NuevaCardones500,NuevaMaitencillo500,0.0072,2300,2300,True,True
L5_NuevaMaitencillo500_NuevaPandeAzucar500,NuevaMaitencillo500,NuevaPandeAzucar500,0.005,2300,2300,True,True
L5_Parinas500_NuevaCardones500,Parinas500,NuevaCardones500,0.00536,2300,2300,True,True
L5_LosChangos500_Parinas500,LosChangos500,Parinas500,0.0062,2300,2300,True,True
L6_Kimal500_AltoJahuel500,Kimal500,AltoJahuel500,0.055555556,3000,3000,True,True
L6_Parinas500_AltoJahuel500,Parinas500,AltoJahuel500,0.055555556,3000,3000,True,True
L5_Maitencillo500_AltoJahuel500,NuevaMaitencillo500,AltoJahuel500,0.055555556,2200,2200,True,True
L6_Maitencillo500_AltoJahuel500,NuevaMaitencillo500,AltoJahuel500,0.055555556,3000,3000,True,True
L2_NuevaPozoAlmonte220_Parinacota220,NuevaPozoAlmonte220,Parinacota220,0.2,2300,2300,True,True
L2_NuevaPozoAlmonte220_Lagunas220,NuevaPozoAlmonte220,Lagunas220,0.2,2300,2300,True,True
L2_Quillota500_Polpaico500,Quillota500,Polpaico500,0.2,2300,2300,True,True
L2_Rapel500_AltoJahuel500,Rapel500,AltoJahuel500,0.2,2300,2300,True,True
L2_Candelaria500_AltoJahuel500,Candelaria500,AltoJahuel500,0.2,2300,2300,True,True
L2_Concepcion500_NuevaCharrua500,Concepcion500,NuevaCharrua500,0.2,2300,2300,True,True
L4_NuevaPozoAlmonte220_Parinacota220,NuevaPozoAlmonte220,Parinacota220,0.2,600,600,True,True
L4_NuevaPozoAlmonte220_Lagunas220,NuevaPozoAlmonte220,Lagunas220,0.2,600,600,True,True
L4_Quillota500_Polpaico500,Quillota500,Polpaico500,0.2,600,600,True,True
L4_Rapel500_AltoJahuel500,Rapel500,AltoJahuel500,0.2,600,600,True,True
L4_Candelaria500_AltoJahuel500,Candelaria500,AltoJahuel500,0.2,600,600,True,True
L4_Concepcion500_NuevaCharrua500,Concepcion500,NuevaCharrua500,0.2,600,600,True,True
L3_NuevaPozoAlmonte220_Parinacota220,NuevaPozoAlmonte220,Parinacota220,0.2,300,300,True,True
L3_NuevaPozoAlmonte220_Lagunas220,NuevaPozoAlmonte220,Lagunas220,0.2,300,300,True,True
L3_Quillota500_Polpaico500,Quillota500,Polpaico500,0.2,300,300,True,True
L3_Rapel500_AltoJahuel500,Rapel500,AltoJahuel500,0.2,300,300,True,True
L3_Candelaria500_AltoJahuel500,Candelaria500,AltoJahuel500,0.2,300,300,True,True
L3_Concepcion500_NuevaCharrua500,Concepcion500,NuevaCharrua500,0.2,300,300,True,True
L5_Ancoa500_NuevaCharrua500,Ancoa500,NuevaCharrua500,0.002,500,500,True,True
L6_Ancoa500_NuevaCharrua500,Ancoa500,NuevaCharrua500,0.002,400,400,True,True
L5_AltoJahuel500_Ancoa500,AltoJahuel500,Ancoa500,0.002,400,400,True,True
L5_NuevaCharrua500_Mulchen500,NuevaCharrua500,Mulchen500,0.002,1000,1000,True,True
L5_RioMalleco500_Mulchen500,RioMalleco500,Mulchen500,0.002,1000,1000,True,True
L5_RioMalleco500_Pichirropulli500,RioMalleco500,Pichirropulli500,0.002,1000,1000,True,True
L5_Pichirropulli500_NuevaPuertoMontt500,Pichirropulli500,NuevaPuertoMontt500,0.002,1000,1000,True,True
L5_NuevaPuertoMontt500_Ancud500,NuevaPuertoMontt500,NuevaAncud500,0.002,2300,2300,True,True
L7_AltoJahuel500_RioMalleco500,AltoJahuel500,RioMalleco500,0.002,3000,3000,True,True
L1_RioMalleco500_Mulchen500,RioMalleco500,Mulchen500,0.2,630,630,True,True
L8_NuevaCharrua500_Mulchen500,NuevaCharrua500,Mulchen500,0.0034,660,660,True,True
L8_Mulchen500_RioMalleco500,Mulchen500,RioMalleco500,0.0034,660,660,True,True
L1_Lagunas500_Kimal500,Lagunas500,Kimal500,0.009158,1500,1500,True,True
Tr1_Lagunas500_Lagunas220,Lagunas500,Lagunas220,0.0096,750,750,True,True
L5_Parinas500_NuevaZaldivar500,Parinas500,NuevaZaldivar220,0.008,1500,1500,True,True
L6_Parinas500_Kimal220,Parinas500,Kimal220,0.002,3000,3000,True,True
L2_Lagunas500_Kimal500,Lagunas500,Kimal500,0.002,2300,2300,True,True
Tr_Lagunas500_Lagunas220,Lagunas500,Lagunas220,0.0096,750,750,True,True
L2_Concepcion500_VadoPedregoso500,Concepcion500,VadoPedregoso500,0.002,2300,2300,True,True
L3_Concepcion500_VadoPedregoso500,Concepcion500,VadoPedregoso500,0.002,600,600,True,True
L2_VadoPedregoso500_RioMalleco500,VadoPedregoso500,RioMalleco500,0.002,2300,2300,True,True
