name,busbar,connected,pmax,pmin,heatrate_avg,vomc_avg,rampup,rampdn,minuptime,mindntime,startcost,shutdncost,uc_linear,faststart,fuel_name,co2_emission,unavailability,is_ncre,forced_commit,initialstate,initialtime,control_areas,auxserv,voltage
CHUFKEN,Mulchen500,True,2.4,0.0,0.24,19.17,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CHUFKEN_Diesel,0.8,0.0,False,False,off,0.0,SEN,0.0,220.0
CHUYACA,Pichirropulli500,True,11.3,0.0,0.248163636,21.6319321,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CHUYACA_Diesel,0.0,0.406633042,False,False,off,0.0,SEN,0.0,220.0
CMPC_SANTA_FE,Concepcion500,True,5.0,0.0,5.59,5.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CMPC_SANTA_FE_Biomasa,0.0,0.02204225,False,False,off,0.0,SEN,0.0,220.0
CMPC_TISSUE,AltoJahuel500,True,3.9,0.0,0.247836038,4.088721769,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CMPC_TISSUE_GN,0.85,0.009621774,False,False,off,0.0,SEN,0.0,220.0
COELEMU,Concepcion500,True,5.89016,0.0,0.241463722,22.54208196,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_COELEMU_Diesel,0.85,0.066532277,False,False,off,0.0,SEN,0.0,220.0
COLIHUES_U1_HFO,Ancoa500,True,9.563409563,0.0,0.214,22.18,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_COLIHUES_U1_HFO_fuel_oil,1.0,0.508912831,False,False,off,0.0,SEN,0.0,220.0
COLIHUES_U2_HFO,Ancoa500,True,9.563409563,0.0,0.214,22.18,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_COLIHUES_U2_HFO_fuel_oil,1.07,0.578828114,False,False,off,0.0,SEN,0.0,220.0
COMBARBALA,NuevaPandeAzucar500,True,75.97,0.0,0.2178,45.16,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_COMBARBALA_Diesel,0.85,5.41e-05,False,False,off,0.0,SEN,0.0,220.0
CONSTITUCION-EGEN,Ancoa500,True,9.0,0.0,0.217428028,38.39,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CONSTITUCION-EGEN_Diesel,0.85,0.041640454,False,False,off,0.0,SEN,0.0,220.0
CONTULMO,Concepcion500,True,0.83,0.0,0.241463722,22.54208196,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CONTULMO_Diesel,1.01,0.05434,False,False,off,0.0,SEN,0.0,220.0
