name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate,kind
CAMPO_LINDO_I_EO,NuevaCharrua500,Profile_Eol_NuevaCharrua500,63.0,0.0,0.0,0.0,False,wind
CABO_LEONES_II_FASE_II_EO,NuevaMaitencillo500,Profile_Cabo_Leones_I,172.0,0.0,0.0,0.0,False,wind
VIENTOS_DEL_LAGO_EO,NuevaPuertoMontt500,Profile_Puelche_Sur,132.0,0.0,0.0,0.0,False,wind
DA�ICALQUI_EO,Concepcion500,Profile_EolicaCuel,95.0,0.0,0.0,0.0,False,wind
SAN_ANDRES_EO,Mulchen500,Profile_PEol_Malleco,120.0,0.0,0.0,0.0,False,wind
COLINAS_EO,NuevaCharrua500,Profile_Eol_NuevaCharrua500,188.0,0.0,0.0,0.0,False,wind
ATACAMA_EO,NuevaMaitencillo500,Profile_Cabo_Leones_I,165.0,0.0,0.0,0.0,False,wind
CARDONAL_EO,Polpaico500,Profile_LaEstrella,33.0,0.0,0.0,0.0,False,wind
MANANTIALES_EO,Polpaico500,Profile_LaEstrella,27.0,0.0,0.0,0.0,False,wind
CAMPO_LINDO_II_EO,NuevaCharrua500,Profile_Eol_NuevaCharrua500,4.0,0.0,0.0,0.0,False,wind
LEBU_NORTE_EO,Concepcion500,Profile_EolicaCuel,9.0,0.0,0.0,0.0,False,wind
LA_CABA�A_ETAPA_1_EO,Concepcion500,Profile_ParqueEolicoRenaico,47.0,0.0,0.0,0.0,False,wind
LA_CABA�A_ETAPA_2_EO,Concepcion500,Profile_ParqueEolicoRenaico,57.0,0.0,0.0,0.0,False,wind
SAN_MATIAS_E1_EO,Concepcion500,Profile_EolicaCuel,77.0,0.0,0.0,0.0,False,wind
LONCUALHUE_EO,NuevaCharrua500,Profile_Eol_NuevaCharrua500,187.0,0.0,0.0,0.0,False,wind
HORIZONTE I_EO,Parinas500,Profile_Eolica_TalTalEol02,400.0,0.0,0.0,0.0,False,wind
HORIZONTE II_EO,Parinas500,Profile_Eolica_TalTalEol02,400.0,0.0,0.0,0.0,False,wind
LOMAS_DE_TALTAL_EO,Parinas500,Profile_Eolica_TalTalEol02,342.0,0.0,0.0,0.0,False,wind
ANTOFAGASTA_EO,Parinas500,Profile_Eolica_TalTalEol02,364.0,0.0,0.0,0.0,False,wind
PMGD_CH1_BUTALCURA_EO,NuevaPuertoMontt500,Profile_Aurora,9.0,0.0,0.0,0.0,False,wind
PMGD_CH2_BUTALCURA_EO,NuevaPuertoMontt500,Profile_Aurora,9.0,0.0,0.0,0.0,False,wind
CERRILLOS_EO,Polpaico500,Profile_LaEstrella,46.0,0.0,0.0,0.0,False,wind
SAN_MATIAS_E2_EO,Concepcion500,Profile_EolicaCuel,4.0,0.0,0.0,0.0,False,wind
CERRO_TIGRE_EO,NuevaZaldivar220,Profile_Cerro_Tigre,185.0,0.0,0.0,0.0,False,wind
CKANI_EO,Kimal220,Profile_Ckani,107.0,0.0,0.0,0.0,False,wind
SIERRA_GORDA_EO,Kimal220,Profile_SIERRAGORDAESTE,112.0,0.0,0.0,0.0,False,wind
TCHAMMA_EO,Kimal220,Profile_Tchamma,155.0,0.0,0.0,0.0,False,wind
VALLE_DE_LOS_VIENTOS_EO,NuevaZaldivar220,Profile_VALLEDELOSVIENTOS,89.0,0.0,0.0,0.0,False,wind
CALAMA_EO,Kimal220,Profile_SIERRAGORDAESTE,150.0,0.0,0.0,0.0,False,wind
LLANOS_DEL_VIENTO_EO,LosChangos220,Profile_Eol_LosChangos220,156.0,0.0,0.0,0.0,False,wind
CALAMA_AMP_EO,Kimal220,Profile_SIERRAGORDAESTE,12.0,0.0,0.0,0.0,False,wind
TCHAMMA_AMP_EO,Kimal220,Profile_Tchamma,18.0,0.0,0.0,0.0,False,wind
PMGD_EL_ALEMAN_EO,Pichirropulli500,Profile_Eolica_LosRios_87,9.0,0.0,0.0,0.0,False,wind
PMGD_GAW_EO,Pichirropulli500,Profile_Eolica_LosRios_87,3.0,0.0,0.0,0.0,False,wind
LOS_OLMOS_AMP_EO,Mulchen500,Profile_EolicaCuel,10.0,0.0,0.0,0.0,False,wind
PURRANQUE_1_EO,NuevaPuertoMontt500,Profile_Aurora,9.0,0.0,0.0,0.0,False,wind
CANCURA_EO,Mulchen500,Profile_ParqueEolicoRenaico,34.0,0.0,0.0,0.0,False,wind
PEMUCO_EO,NuevaCharrua500,Profile_Eol_NuevaCharrua500,165.0,0.0,0.0,0.0,False,wind
PAMPA FIDELIA_EO,Parinas500,Profile_Eolica_TalTalEol02,306.0,0.0,0.0,0.0,False,wind
PURRANQUE_2_EO,NuevaPuertoMontt500,Profile_Aurora,9.0,0.0,0.0,0.0,False,wind
Eolica_Antofagasta_1,Parinas500,Profile_Eolica_Antofagasta_1,41.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_2,NuevaZaldivar220,Profile_Eolica_Antofagasta_2,6.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_3,Kimal220,Profile_Eolica_Antofagasta_3,536.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_4,Kimal220,Profile_Eolica_Antofagasta_4,1477.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_5,Kimal220,Profile_Eolica_Antofagasta_5,1035.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_7,Parinas500,Profile_Eolica_Antofagasta_7,314.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_9,Parinas500,Profile_Eolica_Antofagasta_9,428.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_10,NuevaZaldivar220,Profile_Eolica_Antofagasta_10,189.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_11,Parinas500,Profile_Eolica_Antofagasta_11,843.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_12,Parinas500,Profile_Eolica_Antofagasta_12,2538.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_13,Parinas500,Profile_Eolica_Antofagasta_13,554.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_14,Parinas500,Profile_Eolica_Antofagasta_14,917.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_18,NuevaZaldivar220,Profile_Eolica_Antofagasta_18,229.0,0.0,0.0,1483.0,True,wind
Eolica_Atacama_19,NuevaMaitencillo500,Profile_Eolica_Atacama_19,24.0,0.0,0.0,1483.0,True,wind
Eolica_Atacama_20,Cumbre500,Profile_Eolica_Atacama_20,89.0,0.0,0.0,1483.0,True,wind
Eolica_Atacama_21,NuevaMaitencillo500,Profile_Eolica_Atacama_21,161.0,0.0,0.0,1483.0,True,wind
Eolica_Atacama_22,Cumbre500,Profile_Eolica_Atacama_22,43.0,0.0,0.0,1483.0,True,wind
Eolica_Coquimbo_23,NuevaPandeAzucar500,Profile_Eolica_Coquimbo_23,15.0,0.0,0.0,1483.0,True,wind
Eolica_Coquimbo_24,NuevaPandeAzucar500,Profile_Eolica_Coquimbo_24,21.0,0.0,0.0,1483.0,True,wind
Eolica_Coquimbo_25,NuevaMaitencillo500,Profile_Eolica_Coquimbo_25,110.0,0.0,0.0,1483.0,True,wind
Eolica_Coquimbo_26,NuevaPandeAzucar500,Profile_Eolica_Coquimbo_26,330.0,0.0,0.0,1483.0,True,wind
