name,stage,block,hm3
afl_a_chacayes,1,13,3.637715049
afl_a_chacayes,2,1,2.5193356309116
afl_a_chacayes,3,1,1.7570657423304
afl_a_chacayes,4,1,1.191034149786
afl_a_chacayes,5,13,1.4846840544672
afl_a_chacayes,6,13,2.0924441310312
afl_a_chacayes,7,1,1.9270573589448
afl_a_chacayes,8,1,1.7296888677803999
afl_a_chacayes,9,13,1.8646864685928
afl_a_chacayes,10,1,2.8934909201052
afl_a_chacayes,11,13,4.2758923184064
afl_a_chacayes,12,13,5.4865601052948
afl_a_chacayes,13,13,4.1644840375692
afl_a_chacayes,14,1,2.879919238482
afl_a_chacayes,15,1,1.9858601954555999
afl_a_chacayes,16,1,1.3074115529052
afl_a_chacayes,17,13,1.4474343185748
afl_a_chacayes,18,13,1.9013337450180001
afl_a_chacayes,19,1,1.7833544538372
afl_a_chacayes,20,1,1.5625647709344
afl_a_chacayes,21,13,1.7200728690732
afl_a_chacayes,22,1,2.7046409241888
afl_a_chacayes,23,13,4.1234887791648
afl_a_chacayes,24,13,5.279089911696
afl_a_chacayes,25,13,4.3184754543708
afl_a_chacayes,26,1,3.052470139902
afl_a_chacayes,27,1,2.1011541056568
afl_a_chacayes,28,1,1.3923162917964
afl_a_chacayes,29,13,1.3197176027892
afl_a_chacayes,30,13,1.754314978266
afl_a_chacayes,31,1,1.6907625201816
afl_a_chacayes,32,1,1.5825813666696
afl_a_chacayes,33,13,1.7105876366328
afl_a_chacayes,34,1,2.7221449374612
afl_a_chacayes,35,13,4.2137269180956
afl_a_chacayes,36,13,5.0013841642524
afl_a_chacayes,37,13,3.7537094934143997
afl_a_chacayes,38,1,2.6175458484648
afl_a_chacayes,39,1,1.7706000620052
afl_a_chacayes,40,1,1.3672231585452
afl_a_chacayes,41,13,1.5723488978532
afl_a_chacayes,42,13,1.9300416344172
afl_a_chacayes,43,1,2.0015194687344
afl_a_chacayes,44,1,1.73260308987
afl_a_chacayes,45,13,1.8119595982392
afl_a_chacayes,46,1,2.91410997516
afl_a_chacayes,47,13,4.15191178476
afl_a_chacayes,48,13,5.236142498136
afl_a_chacayes,49,13,4.208514944004
afl_a_chacayes,50,1,2.9190650868144
afl_a_chacayes,51,1,2.0060028872568
afl_a_chacayes,52,1,1.3868007528816
afl_a_chacayes,53,13,1.3784363751132
afl_a_chacayes,54,13,1.9101931669224
afl_a_chacayes,55,1,1.8973360300788
afl_a_chacayes,56,1,1.7191294830468
afl_a_chacayes,57,13,1.8453470558112
afl_a_chacayes,58,1,2.7957944275092
afl_a_chacayes,59,13,3.97271047914
afl_a_chacayes,60,13,4.82028207588
afl_a_chacayes,61,13,4.180951260432
afl_a_chacayes,62,1,2.920050504684
afl_a_chacayes,63,1,2.0058160782815997
afl_a_chacayes,64,1,1.3295297510748
afl_a_chacayes,65,13,1.4126551332624
afl_a_chacayes,66,13,1.9115989055136
afl_a_chacayes,67,1,1.8319481726003999
afl_a_chacayes,68,1,1.6434297628452
afl_a_chacayes,69,13,1.6842802442148
afl_a_chacayes,70,1,2.8452241171512003
afl_a_chacayes,71,13,4.112158806828
afl_a_chacayes,72,13,4.981970027988
afl_a_chacayes,73,13,3.847539037392
afl_a_chacayes,74,1,2.6507931992352
afl_a_chacayes,75,1,1.8745172977931999
afl_a_chacayes,76,1,1.2850598432916
afl_a_chacayes,77,13,1.4211689582664
afl_a_chacayes,78,13,1.9105948065024
afl_a_chacayes,79,1,1.7337192741936
afl_a_chacayes,80,1,1.6267383692172
