name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate
FV_Biobio_173,RioMalleco500,Profile_FV_Biobio_173,226.203168,0.0,0.0,809.0,True
FV_Biobio_174,RioMalleco500,Profile_FV_Biobio_174,1703.61,0.0,0.0,809.0,True
FV_Biobio_176,RioMalleco500,Profile_FV_Biobio_176,176.127067,0.0,0.0,809.0,True
FV_Biobio_178,Concepcion500,Profile_FV_Biobio_178,6375.17,0.0,0.0,809.0,True
FV_Biobio_179,Mulchen500,Profile_FV_Biobio_179,10000.0,0.0,0.0,809.0,True
FV_Biobio_180,Mulchen500,Profile_FV_Biobio_180,10000.0,0.0,0.0,809.0,True
FV_Biobio_181,Mulchen500,Profile_FV_Biobio_181,7976.39,0.0,0.0,809.0,True
FV_Biobio_182,RioMalleco500,Profile_FV_Biobio_182,76.5,0.0,0.0,809.0,True
FV_Biobio_183,Concepcion500,Profile_FV_Biobio_183,1975.46,0.0,0.0,809.0,True
FV_Biobio_184,Concepcion500,Profile_FV_Biobio_184,7297.68,0.0,0.0,809.0,True
FV_Biobio_185,NuevaCharrua500,Profile_FV_Biobio_185,10000.0,0.0,0.0,809.0,True
FV_Biobio_189,Concepcion500,Profile_FV_Biobio_189,4.95,0.0,0.0,809.0,True
FV_Coquimbo_77,Quillota500,Profile_FV_Coquimbo_77,63.013683,0.0,0.0,809.0,True
FV_Coquimbo_78,Quillota500,Profile_FV_Coquimbo_78,1387.29,0.0,0.0,809.0,True
FV_Coquimbo_79,Quillota500,Profile_FV_Coquimbo_79,73.0,0.0,0.0,809.0,True
FV_Coquimbo_81,NuevaPandeAzucar500,Profile_FV_Coquimbo_81,731.63,0.0,0.0,809.0,True
FV_Coquimbo_82,NuevaPandeAzucar500,Profile_FV_Coquimbo_82,2106.71,0.0,0.0,809.0,True
FV_Coquimbo_83,Quillota500,Profile_FV_Coquimbo_83,77.409294,0.0,0.0,809.0,True
FV_Coquimbo_85,NuevaPandeAzucar500,Profile_FV_Coquimbo_85,5399.57,0.0,0.0,809.0,True
FV_Coquimbo_86,NuevaPandeAzucar500,Profile_FV_Coquimbo_86,7102.74,0.0,0.0,809.0,True
FV_Coquimbo_87,NuevaPandeAzucar500,Profile_FV_Coquimbo_87,55.75,0.0,0.0,809.0,True
FV_Coquimbo_89,NuevaPandeAzucar500,Profile_FV_Coquimbo_89,7950.35,0.0,0.0,809.0,True
FV_Coquimbo_90,NuevaPandeAzucar500,Profile_FV_Coquimbo_90,2419.63,0.0,0.0,809.0,True
FV_Coquimbo_91,NuevaPandeAzucar500,Profile_FV_Coquimbo_91,148.0,0.0,0.0,809.0,True
FV_Coquimbo_92,NuevaPandeAzucar500,Profile_FV_Coquimbo_92,21.5,0.0,0.0,809.0,True
FV_Coquimbo_93,NuevaPandeAzucar500,Profile_FV_Coquimbo_93,21.18,0.0,0.0,809.0,True
